Wall time,Step,Value
1705735337.846551,0,0.10000000149011612
1705735346.588465,10,0.39980000257492065
1705735355.424603,20,0.4553999900817871
1705735364.5729501,30,0.5861999988555908
1705735373.2232199,40,0.5067999958992004
1705735381.623101,50,0.6284000277519226
1705735390.480631,60,0.6790000200271606
1705735399.671804,70,0.6320000290870667
1705735408.48477,80,0.5986999869346619
1705735416.305282,90,0.6912999749183655
1705735424.776011,100,0.6432999968528748
1705735432.456726,110,0.6550000309944153
1705735440.5244238,120,0.6460999846458435
1705735447.822554,130,0.6331000328063965
1705735456.786446,140,0.7034000158309937
1705735464.1935492,150,0.7567999958992004
1705735472.127744,160,0.5562000274658203
1705735479.7208,170,0.632099986076355
1705735487.70409,180,0.680899977684021
1705735495.918617,190,0.7490000128746033
1705735503.636668,200,0.7888000011444092
1705735512.23035,210,0.7206000089645386
1705735519.731958,220,0.6377999782562256
1705735527.641948,230,0.7556999921798706
1705735535.744771,240,0.6524999737739563
1705735543.529022,250,0.7620999813079834
1705735552.5097659,260,0.6985999941825867
1705735560.284393,270,0.7512999773025513
1705735569.090271,280,0.7624000310897827
1705735577.518215,290,0.7590000033378601
1705735585.630476,300,0.7718999981880188
1705735593.494987,310,0.7301999926567078
1705735601.694283,320,0.7365000247955322
1705735609.744781,330,0.782800018787384
1705735618.224098,340,0.7791000008583069
1705735626.706029,350,0.7512000203132629
1705735635.03911,360,0.7516999840736389
1705735643.032524,370,0.7542999982833862
1705735651.598188,380,0.6690999865531921
1705735659.78672,390,0.7767000198364258
1705735667.941474,400,0.7994999885559082
1705735675.683611,410,0.6985000371932983
1705735683.255946,420,0.724399983882904
1705735691.238042,430,0.7717000246047974
1705735699.088917,440,0.7781000137329102
1705735706.993438,450,0.6915000081062317
1705735714.363779,460,0.798799991607666
1705735722.222755,470,0.7649999856948853
1705735730.82287,480,0.7961000204086304
1705735738.7641869,490,0.7706999778747559
1705735746.413996,500,0.7943000197410583
1705735754.1482391,510,0.7871999740600586
1705735762.0002508,520,0.7818999886512756
1705735770.6307662,530,0.7526999711990356
1705735778.675145,540,0.7598000168800354
1705735786.771158,550,0.7767999768257141
1705735794.102705,560,0.7811000347137451
1705735801.839159,570,0.7577999830245972
1705735809.472221,580,0.7745999693870544
1705735817.79467,590,0.770799994468689
1705735825.963393,600,0.7620999813079834
1705735833.777707,610,0.7760000228881836
1705735841.378651,620,0.770799994468689
1705735848.756667,630,0.7581999897956848
1705735856.219363,640,0.734499990940094
1705735864.204963,650,0.794700026512146
1705735872.471714,660,0.7328000068664551
1705735880.264915,670,0.8062999844551086
1705735887.275882,680,0.7784000039100647
1705735894.842724,690,0.7059000134468079
1705735903.227113,700,0.7901999950408936
1705735911.221715,710,0.6938999891281128
1705735919.068446,720,0.7290999889373779
1705735926.8880472,730,0.7623000144958496
1705735934.565411,740,0.8177000284194946
1705735942.720982,750,0.6944000124931335
1705735950.272755,760,0.7354999780654907
1705735958.002499,770,0.727400004863739
1705735966.650239,780,0.7928000092506409
1705735974.494411,790,0.717199981212616
1705735982.857213,800,0.7529000043869019
1705735990.073619,810,0.7764999866485596
1705735998.0206258,820,0.7677000164985657
1705736005.391391,830,0.7533999681472778
1705736013.201843,840,0.7903000116348267
1705736021.2388842,850,0.7760000228881836
1705736029.707005,860,0.8123000264167786
1705736038.5049741,870,0.7822999954223633
1705736046.7553291,880,0.7900000214576721
1705736054.031193,890,0.7717999815940857
1705736061.88929,900,0.7698000073432922
1705736070.3572779,910,0.7724000215530396
1705736078.412503,920,0.7792999744415283
1705736087.104373,930,0.753600001335144
1705736095.2419012,940,0.7602999806404114
1705736104.0696902,950,0.7825000286102295
1705736111.760879,960,0.8087999820709229
1705736120.23197,970,0.792199969291687
1705736128.420885,980,0.777899980545044
1705736135.924682,990,0.7741000056266785
1705736143.621275,999,0.7710000276565552
